ROUTE COMPARISON: ROUTE A vs ROUTE B,,,,,,,,,
"Comparing fuel efficiency, distance, and gradient between routes",,,,,,,,,
,,,,,,,,,
Hauler ID,Route,Distance (km),Fuel (L),Cost (₹),Fuel/km (L/km),Avg Pitch (°),Grade,% of Travel,Recommendation
135,Route A,10.6,4.15,391.86,0.391,19.9,Steep Up,59.9,Route B is more fuel efficient
135,Route B,41.54,10.58,1000.04,0.255,35,Steep Up,26.6,
,,,,,,,,,
134,Route A,5.06,5.24,494.83,1.035,10.8,Steep Up,78,Route B is more fuel efficient
134,Route B,1.69,1.57,148.07,0.926,11.6,Steep Up,10.2,
,,,,,,,,,
133,Route A,24.75,21.49,2030.76,0.868,27.6,Steep Up,52.3,Route B is more fuel efficient
133,Route B,130.08,90.33,8535.74,0.694,28.8,Steep Up,37.3,
,,,,,,,,,
137,Route A,31.7,20.05,1894.77,0.632,-1.2,Flat,56.6,Route B is more fuel efficient
137,Route B,95.64,51.9,4904.56,0.543,6.3,Mild Up,31.1,
,,,,,,,,,
08,Route A,5.51,1.78,168.54,0.323,-18,Steep Down,82.2,Route A is more fuel efficient
08,Route B,1.67,0.66,62.71,0.398,-15.4,Steep Down,13.1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
SUMMARY: ROUTE EFFICIENCY COMPARISON,,,,,,,,,
Hauler ID,Route A (L/km),Route B (L/km),Better Route,Fuel Saving (L/km),,,,,
135,0.391,0.255,Route B,0.136,,,,,
134,1.035,0.926,Route B,0.109,,,,,
133,0.868,0.694,Route B,0.174,,,,,
137,0.632,0.543,Route B,0.089,,,,,
08,0.323,0.398,Route A,0.075,,,,,
