Hauler ID,Total Trips,Avg Fuel/Trip (L),Avg Time/Trip (hrs),Avg Distance/Trip (km),Trips/Hour,Target Status
135,13,0.37,1.24,1.24,0.07,✗ Target Not Met (<1.5 trips/hr)
134,6,2.6,8.37,2.62,0.03,✗ Target Not Met (<1.5 trips/hr)
133,13,1.1,0.3,1.42,0.07,✗ Target Not Met (<1.5 trips/hr)
137,13,0.54,0.9,0.95,0.08,✗ Target Not Met (<1.5 trips/hr)
08,6,0.17,0.36,0.42,0.22,✗ Target Not Met (<1.5 trips/hr)
,,,,,,
,,,,,,
📊 PRODUCTIVITY SUMMARY (Target: 1.5 trips per hour),,,,,,
Haulers Meeting Target:,0 / 5,,,,,
Haulers Below Target:,5 / 5,,,,,
,,,,,,
⚠️ TRIPS TAKING MORE THAN 1 HOUR,,,,,,
Hauler ID,Trip #,Duration (hrs),Distance (km),Fuel (L),,
135,1,9.21,2.35,1.35,,
135,4,3.1,0.85,0.21,,
134,2,18.28,4.65,4.52,,
134,4,1.84,2.62,2.7,,
134,5,2.58,6.28,6.17,,
134,6,18.75,1.08,1.13,,
133,3,1.02,3.76,2.9,,
137,11,2.91,0.7,0.42,,
137,12,1.87,1.54,1,,
